customer_id,name,nationality,age_group,gender,segment,id_type,id_number,payment_preference,credit_score,credit_rating,monthly_income_qar,existing_loans,debt_to_income_ratio,emi_eligibility,max_emi_amount_qar,preferred_finance_bank,first_purchase_date,total_purchases,lifetime_value_qar,last_purchase_date,avg_purchase_value_qar,preferred_body_type,preferred_color,repurchase_interval_months,next_upgrade_prediction,contact_number,email,preferred_contact
1001,Ali Mehta,Qatari,26-35,M,Individual,Qatar ID,Q77827638,Finance,685,Fair,31400.0,2,0.1,True,11000.0,Qatar National Bank,2022-08-03,1,99700.0,2025-08-23,93000.0,SUV,White,36,2028-08-07,+974 7597 4257,customer1001@gmail.com,Call
1002,Pradeep Al-Subaie,Indian,46-55,M,Individual,Qatar ID,Q58181396,Finance,617,Poor,19600.0,1,0.2,True,6900.0,Masraf Al Rayan,2016-10-15,1,129300.0,2020-08-08,122000.0,SUV,Graphite Grey,20,2022-03-31,+974 7945 5333,customer1002@gmail.com,Call
1003,Saad Al-Naimi,Sri Lankan,36-45,M,Individual,Qatar ID,Q41244663,Finance,538,Poor,21300.0,0,0.37,False,0.0,Commercial Bank Qatar,2021-12-08,2,546700.0,2023-12-18,245000.0,Sedan,White,22,2025-10-08,+974 6113 5554,customer1003@gmail.com,Call
1004,Juan Siddiqui,Indian,46-55,M,Corporate,Qatar ID,Q39476249,Finance,762,Excellent,109900.0,0,0.34,True,38500.0,Masraf Al Rayan,2015-10-20,2,245800.0,2017-09-19,119000.0,SUV,Silver,31,2020-04-06,+974 3458 4752,customer1004@gmail.com,Call
1005,Omar Shah,Qatari,36-45,M,Fleet,Qatar ID,Q85345555,Finance,735,Good,31600.0,1,0.54,False,0.0,Qatar Islamic Bank,2017-05-20,2,253300.0,2021-10-26,121000.0,Pickup,White,22,2023-08-17,+974 7788 8019,customer1005@gmail.com,WhatsApp
1006,James Hussain,Other,18-25,M,Individual,Qatar ID,Q43744231,Cash,709,Good,23700.0,1,0.49,True,8300.0,,2016-03-25,1,112000.0,2018-01-09,125000.0,SUV,White,31,2020-07-27,+974 7532 1188,customer1006@gmail.com,WhatsApp
1007,Sara Hassan,British,26-35,F,Corporate,Qatar ID,Q95758349,Cash,795,Excellent,30300.0,3,0.53,False,0.0,,2016-10-09,1,641000.0,2024-11-13,650000.0,SUV,Silver,35,2027-09-29,+974 7158 4258,customer1007@hotmail.com,Call
1008,Carlo Chaudhry,British,18-25,M,Corporate,Qatar ID,Q20570592,Cash,642,Fair,41200.0,0,0.53,False,0.0,,2015-03-21,1,86600.0,2019-04-15,98000.0,Sedan,Pearl White,23,2021-03-05,+974 3701 8962,customer1008@gmail.com,Email
1009,Asif Singh,Qatari,55+,M,Corporate,Qatar ID,Q51837852,Cash,737,Good,37100.0,2,0.58,False,0.0,,2020-12-01,1,102300.0,2023-04-16,92000.0,Crossover,Graphite Grey,35,2026-03-01,+974 6268 7118,customer1009@gmail.com,WhatsApp
1010,Anil Abdullah,Qatari,36-45,M,Individual,Qatar ID,Q19510312,Cash,669,Fair,11700.0,0,0.4,True,4100.0,,2017-06-21,3,375800.0,2025-05-29,147000.0,SUV,Beige,36,2028-05-13,+974 7211 4899,customer1010@hotmail.com,WhatsApp
